"03111"," 200 "," 1","001","032001",18
"03111"," 200 "," 1","188","032001",17
"03111"," 200 "," 1","207","032001",19
"03111"," 201a"," 1","146","03201a1",1
"03111"," 201a"," 1","188","03201a1",16
"03111"," 201b"," 1","146","03201b1",20
"03111"," 202a"," 1","146","03202a1",21
"03111"," 202b"," 1","146",,16
"03111"," 202b"," 1","195",,17
"03111"," 300 "," 1","146","033001",3
"03111"," 300 "," 1","188","033001",2
"03111"," 301 "," 1","146","033011",16
"03111"," 302 "," 1","146","033021",4
"03111"," 303 "," 1","146","033031",5
"03111"," 304 "," 1","146","033041",6
"03111"," 305 "," 1","001","033051",8
"03111"," 305 "," 1","188","033051",7
"03111"," 306 "," 1","146","033061",10
"03111"," 306 "," 1","188","033061",9
"03111"," 307 "," 1","146","033071",11
"03111"," 308 "," 1","146","033081",12
"03111"," 309 "," 1","040","033091",14
"03111"," 309 "," 1","146","033091",13
"03111"," 310 "," 1","146","033101",15
