20, 601a, 1,030,\N,2
20, 601a, 1,063,\N,4
20, 601a, 1,092,\N,6
20, 601a, 1,101,\N,5
20, 601a, 1,173,\N,3
20, 601a, 1,185,\N,1
20, 602a, 1,030,\N,2
20, 602a, 1,063,\N,4
20, 602a, 1,092,\N,6
20, 602a, 1,101,\N,5
20, 602a, 1,173,\N,3
20, 602a, 1,185,\N,1
20, 603b, 1,030,\N,7
20, 603b, 1,101,\N,9
20, 603b, 1,185,\N,8
20, 603b, 1,306,\N,10
20, 605b, 1,030,\N,4
20, 605b, 1,104,\N,2
20, 605b, 1,151,\N,6
20, 605b, 1,173,\N,5
20, 605b, 1,185,\N,3
20, 606c, 1,030,\N,7
20, 606c, 1,063,\N,10
20, 606c, 1,104,\N,9
20, 606c, 1,185,\N,8
20, 606c, 1,210,\N,11
20, 606d, 1,030,\N,12
20, 606d, 1,063,\N,16
20, 606d, 1,104,\N,13
20, 606d, 1,173,\N,14
20, 606d, 1,185,\N,15
