0000000001	1	15	17	0.16	1
0000000001	1	20	21	0.36	2
0000000001	1	25	25	0.64	3
0000000001	1	30	28	1.03	4
0000000001	1	35	31	1.53	5
0000000001	1	40	32	1.99	6
0000000001	1	45	34	2.62	7
0000000001	1	50	35	3.27	8
0000000001	1	55	36	3.98	9
0000000001	1	60	36	4.66	10
0000000001	1	65	37	5.53	11
0000000001	1	70	37	6.31	12
0000000001	1	75	38	7.28	13
0000000001	1	80	38	8.1	14
0000000001	2	15	16	0.15	15
0000000001	2	20	20	0.34	16
0000000001	2	25	24	0.62	17
0000000001	2	30	27	0.99	18
0000000001	2	35	29	1.43	19
0000000001	2	40	31	1.92	20
0000000001	2	45	32	2.45	21
0000000001	2	50	33	3.07	22
0000000001	2	55	34	3.77	23
0000000001	2	60	35	4.54	24
0000000001	2	65	35	5.23	25
0000000001	2	70	35	5.97	26
0000000001	2	75	35	6.71	27
0000000001	2	80	36	7.67	28
0000000001	3	15	15	0.14	29
0000000001	3	20	19	0.33	30
0000000001	3	25	22	0.56	31
0000000001	3	30	25	0.91	32
0000000001	3	35	27	1.32	33
0000000001	3	40	29	1.78	34
0000000001	3	45	30	2.27	35
0000000001	3	50	31	2.88	36
0000000001	3	55	32	3.55	37
0000000001	3	60	32	4.15	38
0000000001	3	65	32	4.78	39
0000000001	3	70	33	5.62	40
0000000001	3	75	33	6.33	41
0000000001	3	80	33	7.03	42
0000000001	4	15	14	0.13	43
0000000001	4	20	17	0.28	44
0000000001	4	25	21	0.53	45
0000000001	4	30	23	0.82	46
0000000001	4	35	25	1.21	47
0000000001	4	40	27	1.65	48
0000000001	4	45	28	2.11	49
0000000001	4	50	29	2.68	50
0000000001	4	55	30	3.32	51
0000000001	4	60	30	3.88	52
0000000001	4	65	30	4.49	53
0000000001	4	70	31	5.28	54
0000000001	4	75	31	5.95	55
0000000001	4	80	31	6.61	56
0000000001	5	15	12	0.11	57
0000000001	5	20	16	0.26	58
0000000001	5	25	19	0.47	59
0000000001	5	30	21	0.74	60
0000000001	5	35	23	1.1	61
0000000001	5	40	25	1.52	62
0000000001	5	45	26	1.94	63
0000000001	5	50	27	2.48	64
0000000001	5	55	27	2.99	65
0000000001	5	60	28	3.61	66
0000000001	5	65	28	4.2	67
0000000001	5	70	29	4.95	68
0000000001	5	75	29	5.75	69
0000000001	5	80	29	6.43	70
