"1","209a","1","17",1
"1","114","1","16",2
"1","100","1","16",3
"1","111","2","16",4
"1","118","1","16",5
"1","72","1","16",6
"1","73","1","16",7
"1","80a","1","16",8
"1","99a","1","16",9
"1","120","1","16",10
"1","28d","1","17",11
"1","123b","1","17",12
"1","87a","2","17",13
"1","106a","2","17",14
"1","107","1","17",15
"1","119","1","17",16
"1","39","1","17",17
"1","86","2","17",18
"1","88b","1","17",19
"1","91a","1","17",20
"1","91a","2","17",21
"1","82","1","17",22
"1","90a","1","17",23
"1","101","1","17",24
"1","61a","1","4",25
"1","18a","2","18",26
"1","10b","2","18",27
"1","12c","1","18",28
"1","152","2","18",29
"1","17a","2","18",30
"1","31a","1","18",31
"1","46a","1","18",32
"1","64a","2","18",33
"1","80d","1","18",34
"1","112a","1","18",35
"1","64a","1","18",36
"1","78a","1","18",37
"1","97b","1","11",38
"1","166a","1","11",39
"1","51c","1","11",40
"1","13","1","18",41
"1","116c","1","18",42
"1","129","3","18",43
"1","69a","1","18",44
"1","32b","1","19",45
"1","138","2","19",46
"1","151a","1","19",47
"1","152","1","19",48
"1","153","1","19",49
"1","155a","1","19",50
"1","15a","1","19",51
"1","21a","2","19",52
"1","22b","1","19",53
"1","30a","1","19",54
"1","32a","1","19",55
"1","38a","1","19",56
"1","38a","2","19",57
"1","38a","3","19",58
"1","38b","1","19",59
"1","47","1","19",60
"1","48a","1","19",61
"1","49a","1","19",62
"1","49b","1","19",63
"1","49c","1","19",64
"1","50b","1","19",65
"1","50d","1","19",66
"1","63","1","19",67
"1","137a","1","19",68
"1","28a","1","19",69
"1","9a","2","20",70
"1","55","2","20",71
"1","169a","2","20",72
"1","104a","1","20",73
"1","122","1","20",74
"1","123a","1","20",75
"1","126a","1","20",76
"1","126b","1","20",77
"1","128","3","20",78
"1","131b","1","20",79
"1","132a","1","20",80
"1","136","1","20",81
"1","140a","1","20",82
"1","140a","3","20",83
"1","140b","1","20",84
"1","140c","1","20",85
"1","143a","2","20",86
"1","148a","1","20",87
"1","148c","1","20",88
"1","150c","1","20",89
"1","150d","1","20",90
"1","150f","1","20",91
"1","151a","2","20",92
"1","153","2","20",93
"1","197","2","20",94
"1","26","1","20",95
"1","40","1","20",96
"1","42a","1","20",97
"1","43","1","20",98
"1","47","2","20",99
"1","48c","1","20",100
"1","54","1","20",101
"1","64b","1","20",102
"1","77","3","20",103
"1","81a","1","20",104
"1","87c","2","20",105
"1","91b","1","20",106
"1","96a","1","20",107
"1","96b","1","20",108
"1","9b","1","20",109
"1","156a","1","20",110
"1","89b","1","20",111
"1","34","1","20",112
"1","90d","1","20",113
"1","124b","1","20",114
"1","159a","1","20",115
"1","162a","1","20",116
"1","62a","1","20",117
"1","44a","1","20",118
"1","200","1","20",119
"1","109","1","20",120
"1","35a","1","20",121
"1","28b","1","20",122
"1","28c","1","20",123
"1","31a","2","20",124
"1","35b","1","20",125
"1","36a","1","20",126
"1","125a","2","20",127
"1","125a","3","20",128
"1","16","1","20",129
"1","16","2","20",130
"1","85a","2","1",131
"1","83b","2","1",132
"1","2a","2","2",133
"1","139a","2","2",134
"1","3a","1","2",135
"1","3b","1","2",136
"1","88c","1","2",137
"1","1","1","3",138
"1","2b","1","3",139
"1","4b","1","3",140
"1","140a","4","4",141
"1","36a","2","4",142
"1","121c","1","4",143
"1","135b","1","4",144
"1","141a","2","4",145
"1","149a","1","4",146
"1","150e","1","4",147
"1","191a","2","4",148
"1","26","2","4",149
"1","36b","1","4",150
"1","150b","1","4",151
"1","100","2","26",152
"1","60a","2","5",153
"1","80a","2","5",154
"1","45a","2","5",155
"1","71","1","5",156
"1","167a","1","9",157
"1","169a","1","5",158
"1","8a","1","24",159
"1","87a","1","24",160
"1","84c","1","24",161
"1","87c","1","24",162
"1","84a","1","24",163
"1","95b","1","5",164
"1","121a","1","6",165
"1","57a","2","6",166
"1","55","1","6",167
"1","100","4","6",168
"1","176a","2","6",169
"1","37a","1","6",170
"1","56a","1","6",171
"1","113a","3","7",172
"1","118","2","7",173
"1","139a","1","8",174
"1","127a","2","8",175
"1","121a","2","10",176
"1","164","1","10",177
"1","165c","1","10",178
"1","166c","1","10",179
"1","170a","2","9",180
"1","196a","1","9",181
"1","197","1","9",182
"1","198a","2","9",183
"1","199b","2","9",184
"1","201a","2","9",185
"1","203","1","9",186
"1","204a","2","9",187
"1","204b","1","9",188
"1","205a","2","9",189
"1","205b","1","9",190
"1","211","2","10",191
"1","214","2","10",192
"1","66","1","10",193
"1","147a","1","9",194
"1","161a","2","9",195
"1","12b","1","9",196
"1","119","2","9",197
"1","120","2","9",198
"1","51a","2","9",199
"1","72","2","9",200
"1","65","2","9",201
"1","14b","1","9",202
"1","74a","1","9",203
"1","44b","1","9",204
"1","112a","2","10",205
"1","176a","1","10",206
"1","51a","1","10",207
"1","52","2","10",208
"1","58","1","10",209
"1","60b","1","10",210
"1","175","1","10",211
"1","174","1","10",212
"1","59a","1","10",213
"1","73","2","10",214
"1","123b","2","11",215
"1","138","1","11",216
"1","143a","1","11",217
"1","144a","1","11",218
"1","145a","2","11",219
"1","154a","1","11",220
"1","157","2","11",221
"1","15b","1","11",222
"1","160a","2","11",223
"1","165a","1","11",224
"1","17a","1","11",225
"1","21a","1","11",226
"1","21a","3","11",227
"1","21b","1","11",228
"1","29a","1","11",229
"1","31b","1","11",230
"1","68a","1","11",231
"1","77","1","11",232
"1","77","2","11",233
"1","95a","2","11",234
"1","95a","3","11",235
"1","97a","1","11",236
"1","24","1","11",237
"1","52","1","11",238
"1","23a","1","11",239
"1","157","1","11",240
"1","146a","1","11",241
"1","147a","3","11",242
"1","161a","1","11",243
"1","145a","1","11",244
"1","70a","1","11",245
"1","98","1","11",246
"1","67a","1","11",247
"1","167a","2","18",248
"1","14a","1","18",249
"1","75","2","18",250
"1","148b","1","18",251
"1","170a","1","18",252
"1","147a","2","18",253
