03111,002,1,Sistemazione tornante a quota 1.090 m s.m.,1,03002
03111,007,01,Rifacimento attraversamento Valle Vagone,2,03007
03111,007,02,Sistemazione attraversamento valgello,3,03007
03111,007,03,Ripristino tratto franato,4,03007
