14003	 103 	 1	140031031	1	0	0	0	\N	89
14003	0003 	 1	1400300031	1	0	0	0	\N	55
14003	0004 	 1	1400300041	1	0	0	0	\N	56
14003	0005 	 1	1400300051	1	0	0	0	\N	29
14003	0006 	 1	1400300061	1	0	0	0	\N	57
14003	0007 	 1	1400300071	1	0	0	0	\N	62
14003	0008 	 1	1400300081	1	0	0	0	\N	58
14003	0009 	 1	1400300091	1	0	0	0	\N	59
14003	0010 	 1	1400300101	1	0	0	0	\N	60
14003	0011 	 1	1400300111	1	0	0	0	\N	39
14003	0012 	 1	1400300121	1	0	0	0	\N	30
14003	0013 	 1	1400300131	1	0	0	0	\N	40
14003	0014 	 1	1400300141	1	0	0	0	\N	41
14003	0015 	 1	1400300151	1	0	0	0	\N	61
14003	0016 	 1	1400300161	1	0	0	0	\N	61
14003	0017 	 1	1400300171	1	0	0	0	\N	55
14003	0018 	 1	1400300181	1	0	0	0	\N	31
14003	0019 	 1	1400300191	1	0	0	0	\N	32
14003	0020 	 1	1400300201	1	0	0	0	\N	56
14003	0021 	 1	1400300211	1	0	0	0	\N	57
14003	0022 	 1	1400300221	1	0	0	0	\N	60
14003	0023 	 1	1400300231	1	0	0	0	\N	59
14003	0024 	 1	1400300241	1	0	0	0	\N	58
14003	0025 	 1	1400300251	1	0	0	0	\N	42
14003	0026 	 1	1400300261	1	0	0	0	\N	43
14003	0027 	 1	1400300271	1	0	0	0	\N	27
14003	0028 	 1	1400300281	1	0	0	0	\N	28
14003	0029 	 1	1400300291	1	0	0	0	\N	33
14003	0030 	 1	1400300301	1	0	0	0	\N	34
14003	0031 	 1	1400300311	1	0	0	0	\N	35
14003	0032A	 1	140030032A1	1	0	0	0	\N	77
14003	0032B	 1	140030032B1	1	0	0	0	\N	78
14003	0033 	 1	1400300331	1	0	0	0	\N	49
14003	0034A	 1	140030034A1	1	0	0	0	\N	44
14003	0034B	 1	140030034B1	1	0	0	0	\N	80
14003	0035 	 1	1400300351	1	0	0	0	\N	81
14003	0036 	 1	1400300361	1	0	0	0	\N	79
14003	0037 	 1	1400300371	1	0	0	0	\N	46
14003	0038 	 1	1400300381	1	0	0	0	\N	50
14003	0039 	 1	1400300391	1	0	0	0	\N	47
14003	0040 	 1	1400300401	1	0	0	0	\N	84
14003	0041A	 1	140030041A1	1	0	0	0	\N	45
14003	0041B	 1	140030041B1	1	0	0	0	\N	82
14003	0042 	 1	1400300421	1	0	0	0	\N	51
14003	0043 	 1	1400300431	1	0	0	0	\N	52
14003	0044 	 1	1400300441	1	0	0	0	\N	53
14003	0045 	 1	1400300451	1	0	0	0	\N	54
14003	0046A	 1	140030046A1	1	0	0	0	\N	68
14003	0046B	 1	140030046B1	1	0	0	0	\N	69
14003	0047A	 1	140030047A1	1	0	0	0	\N	66
14003	0047B	 1	140030047B1	1	0	0	0	\N	67
14003	0048A	 1	140030048A1	1	0	0	0	\N	75
14003	0048B	 1	140030048B1	1	0	0	0	\N	76
14003	0049 	 1	1400300491	1	0	0	0	\N	74
14003	0050 	 1	1400300501	1	0	0	0	\N	70
14003	0051 	 1	1400300511	1	0	0	0	\N	71
14003	0052 	 1	1400300521	1	0	0	0	\N	72
14003	0053 	 1	1400300531	1	0	0	0	\N	73
14003	0054A	 1	140030054A1	1	0	0	0	\N	63
14003	0054B	 1	140030054B1	1	0	0	0	\N	64
14003	0055 	 1	1400300551	1	0	0	0	\N	65
14003	0100 	 1	1400301001	6	0	0	0	\N	85
14003	0101 	 1	1400301011	6	0	0	0	\N	86
14003	0102 	 1	1400301021	6	0	0	0	\N	87
14003	0103	 1	1400301031	3	0	0	0	\N	88
15222	5555	 1	1522255551	1	0	0	\N	\N	107
03999	5555	 1	\N	1	0	0	\N	null	23
04222	2222	 1	0422222221	12	\N	\N	\N	\N	139
04222	3456	 1	\N	1	0	0	0	\N	8
14003	0002 	 1	140030002 1	1	0	0	\N	150	54
14003	0001 	 1	140030001 1	1	0	0	\N	12	53
05111	5555	 1	0511155551	1	0	0	\N	\N	94
03999	3333	 1	0399933331	1	0	0	\N	12	110
03999	9998	 1	\N	1	0	0	\N	null	16
05111	6666	 1	0511166661	7	\N	\N	\N	\N	141
04222	2345	 1	0422223451	10	\N	\N	\N	\N	129
04222	1234	 1	0422212341	1	\N	\N	\N	\N	11
04222	3333	 1	0422233331	1	\N	\N	\N	\N	126
04222	9998	 1	0422299981	10	\N	\N	\N	\N	115
05111	9998	 1	0511199981	1	\N	\N	\N	\N	142
04222	6666	 1	0422266661	10	\N	\N	\N	\N	137
04222	7777	 1			\N	\N	\N		114
14003	1111 	 1	140031111 1	1	\N	\N	\N	120	112
03999	9999	 1	0399999991	10	\N	\N	\N		138
