03111,A,Fustaia di produzione,\N,\N,\N,\N,\N,\N,\N,2,03A
03111,B,Fustaia di produzione,\N,\N,\N,\N,\N,\N,\N,3,03B
03111,H,Fustaia di protezione,\N,\N,\N,\N,\N,\N,\N,4,03H
03111,IP,Inclto produttivo,\N,\N,\N,\N,\N,\N,\N,7,03IP
03111,IS,Incolto sterile,\N,\N,\N,\N,\N,\N,\N,8,03IS
03111,L,Ceduo di protezione,\N,\N,\N,\N,\N,\N,\N,5,03L
03111,P,Pascolo,\N,\N,\N,\N,\N,\N,\N,6,03P
