"03111"," 300 "," 1","027","033001",1
"03111"," 300 "," 1","258","033001",2
"03111"," 300 "," 1","347","033001",3
"03111"," 301 "," 1","027","033011",40
"03111"," 301 "," 1","138","033011",42
"03111"," 301 "," 1","258","033011",41
"03111"," 302 "," 1","138","033021",6
"03111"," 302 "," 1","258","033021",5
"03111"," 302 "," 1","347","033021",4
"03111"," 303 "," 1","027","033031",7
"03111"," 303 "," 1","258","033031",8
"03111"," 303 "," 1","347","033031",9
"03111"," 304 "," 1","027","033041",10
"03111"," 304 "," 1","258","033041",11
"03111"," 304 "," 1","347","033041",12
"03111"," 305 "," 1","027","033051",14
"03111"," 305 "," 1","279","033051",17
"03111"," 305 "," 1","289","033051",13
"03111"," 305 "," 1","309","033051",15
"03111"," 305 "," 1","347","033051",16
"03111"," 306 "," 1","027","033061",18
"03111"," 306 "," 1","138","033061",21
"03111"," 306 "," 1","198","033061",19
"03111"," 306 "," 1","258","033061",23
"03111"," 306 "," 1","309","033061",20
"03111"," 306 "," 1","347","033061",22
"03111"," 307 "," 1","027","033071",24
"03111"," 307 "," 1","258","033071",25
"03111"," 307 "," 1","347","033071",26
"03111"," 308 "," 1","027","033081",27
"03111"," 308 "," 1","258","033081",30
"03111"," 308 "," 1","289","033081",29
"03111"," 308 "," 1","309","033081",28
"03111"," 308 "," 1","347","033081",31
"03111"," 309 "," 1","027","033091",32
"03111"," 309 "," 1","138","033091",33
"03111"," 310 "," 1","027","033101",34
"03111"," 310 "," 1","258","033101",35
"03111"," 311 "," 1","027","033111",36
"03111"," 311 "," 1","258","033111",37
"03111"," 312 "," 1","027","033121",38
"03111"," 312 "," 1","258","033121",39
